INN,product
104008357,поставка продукт питание молочный продукция рыба
104008396,поставка продукт питание молочный продукция гр
105003182,продукт питание поставка молочный продукция молоко
105013462,крупа изделие рис горох фасоль печение
105019055,молоко питьевой продукт питание молоко питьевой
105020847,мл натрий хлорид раствор инфузия мг
105034783,поставка крупа продукт питание горох шлифовать
105043185,поставка продукт питание крупа горох шлифовать
105069419,мл натрий хлорид раствор инфузия мг
105082890,поставка овощ свежий столовая яблоко картофель
106009606,услуга питание обеспечение осуществлять договор прочий
107034901,услуга система консультантплюс экземпляр специальный информационный
224013045,поставка медикамент омепразол фамотидина панкреатин этамзилат
245002326,коммунальный услуга тепловой энергия оказание обращение
245019785,отпуск тепловой энергия тепловой энергия тепловой
255008126,питание рыба трескообразный мороженый минтай поставка
266036929,бумага офисный техника поставка бумага бумага
270020720,хлеб недлительный хранение поставка продукт питание
272905550,оказание услуга частный охрана нужда мадоу
273924636,оказание услуга охрана объект оказание оказание
273935941,поставка лекарственный препарат амоксициллин клавулановый кислота
274123692,тонометр речевой выход медицинский поставка обеспечение
274164106,говядина заморозить поставка продукт питание говядина
275906985,услуга система защита информация обеспечение кировский
275928403,медицинский образование повышение квалификация высокий персонал
276005180,коммунальный услуга оказание обращение твёрдый отход
276065541,поставка лекарственный кислота препарат медицинский применение
276962252,услуга ремонт технический обслуживание котельный оборудование
276970711,охрана услуга частный выставление пост охрана
278055355,средство поставка технический реабилитация обеспечение год
300009981,перчатка смотровой процедурный латекс гевея неопудрить
311000250,поставка лекарственный препарат мг мл единица
323401874,поставка лекарственный препарат мг мл единица
505009816,оплата стоимость газ потребить потребла нный
506002394,поставка продукт питание наименование овощ фрукт
514004998,интернат выполнение работа текущий ремонт здание
534024456,охладить мясо птица говядина масло сливочный
560029186,газоанализатор многокомпонентный элан плюс первичный поверка
561046931,булевиртид поставка лекарственный препарат дло булевиртид
562044550,препарат поставка лекарственный дло тн основание
571008854,оплата стоимость газ потребить потребла нный
