,customer_INN,provider_INN
0,420,2024
1,420,2024
2,420,2024
3,3199,3347
4,1831,1819
5,1831,1819
6,1850,1648
7,2268,2254
8,2268,2254
9,2268,2254
10,2268,2254
11,2268,2254
12,2268,2254
13,2268,2254
14,2268,2254
15,2268,2254
16,2253,2254
17,2165,2185
18,2165,2185
19,2165,2185
20,2165,2185
21,389,427
22,641,3540
23,726,615
24,726,615
25,2685,3318
26,2685,3318
27,2685,3318
28,2685,3318
29,2685,3318
30,2685,3318
31,2685,3318
32,342,164
33,1784,1780
34,545,555
35,545,555
36,545,555
37,3303,1627
38,389,3523
39,389,3523
40,389,3523
41,2833,2701
42,1555,1578
43,3340,3319
44,3159,3347
45,3159,3347
46,3159,3347
47,948,947
48,3079,3486
49,3079,3486
50,2258,3662
51,2258,3662
52,2258,3662
53,2258,3662
54,2258,3662
55,2258,3662
56,979,980
57,979,980
58,1980,1985
59,1980,1985
60,1980,1985
61,1980,1985
62,2833,2947
63,2209,3747
64,2209,3747
65,2209,3747
66,2209,3747
67,2209,3747
68,2209,3747
69,2209,3747
70,2209,3747
71,2209,3747
72,2209,3747
73,2268,2254
74,2268,2254
75,2831,2698
76,2253,2254
77,2253,2254
78,343,327
79,3346,3130
80,3205,3424
81,3205,3424
82,762,761
83,762,761
84,762,761
85,762,761
86,3227,3130
87,3227,3130
88,3227,3130
89,3227,3130
90,3227,3130
91,3079,3876
92,3079,3876
93,931,3597
94,400,414
95,400,414
96,400,414
97,2209,3747
98,2209,3747
99,2209,3747
100,3153,386
101,2833,2947
102,2710,2732
103,2710,2732
104,2710,2732
105,2710,2732
106,2710,2732
107,2710,2732
108,2710,2732
109,1810,1809
110,2168,2178
111,3079,3362
112,3157,3242
113,3157,3242
114,3157,3242
115,3157,3242
116,3157,3242
117,3157,3242
118,3157,3242
119,3157,3242
120,3157,3242
121,3157,3242
122,3157,3242
123,3157,3242
124,3157,3242
125,3157,3242
126,3157,3242
127,3157,3242
128,3157,3242
129,3157,3242
130,3157,3242
131,3157,3242
132,1811,3061
133,3173,3319
134,3173,3319
135,3076,3164
136,3076,3164
137,2209,3747
138,2209,3747
139,2209,3747
140,2209,3747
141,2209,3747
142,2209,3747
143,2209,3747
144,2209,3747
145,2209,3747
146,2209,3747
147,2209,3747
148,2209,3747
149,2209,3747
150,1784,1780
151,1784,1780
152,1784,1780
153,1784,1780
154,1784,1780
155,2227,2225
156,2227,2225
157,2227,2225
158,2227,2225
159,2227,2225
160,2227,2225
161,2227,2225
162,2227,2225
163,2227,2225
164,2227,2225
165,2227,2225
166,3079,3865
167,3079,3865
168,3079,3865
169,3079,3865
170,2833,2947
171,2210,3747
172,2210,3747
173,2210,3747
174,2210,3747
175,2210,3747
176,2210,3747
177,2210,3747
178,2210,3747
179,2210,3747
180,2210,3747
181,2979,2667
182,2979,2667
183,2979,2667
184,2979,2667
185,2979,2667
186,2979,2667
187,2979,2667
188,2979,2667
189,2979,2667
190,2979,2667
191,2268,2254
192,2268,2254
193,3304,3186
194,3304,3186
195,641,3540
196,3205,1645
197,3205,1645
198,3205,1645
199,3079,1613
200,3079,1613
201,545,555
202,545,555
203,545,555
204,2258,2254
205,3304,3287
206,3304,3287
207,3304,3287
208,3304,3287
209,3304,3287
210,3304,3287
211,3304,3287
212,3304,3287
213,3304,3287
214,3304,3287
215,3304,3287
216,3304,3287
217,3304,3287
218,3304,3287
219,3304,3287
220,3304,3287
221,3304,3287
222,3304,3287
223,3304,3287
224,3304,3287
225,3304,3287
226,3304,3287
227,3304,3287
228,2210,3747
229,2210,3747
230,2210,3747
231,2210,3747
232,2210,3747
233,2210,3747
234,2210,3747
235,2210,3747
236,2210,3747
237,2210,3747
238,2210,3747
239,2210,3747
240,2210,3747
241,2210,3747
242,1748,3883
243,2253,2254
244,2253,2254
245,2253,2254
246,932,937
247,932,937
248,932,937
249,932,937
250,2833,2947
251,932,3867
252,932,3867
253,1980,3062
254,3153,3177
255,2885,3746
256,2885,3746
257,2885,3746
258,2885,3746
259,2210,3747
260,2210,3747
261,2210,3747
262,1111,1123
263,1111,1123
264,2216,3747
265,2216,3747
266,2216,3747
267,3229,3319
268,3229,3319
269,2885,3746
270,2885,3746
271,2885,3746
272,2885,3746
273,2885,3746
274,2885,3746
275,2885,3746
276,2885,3746
277,2885,3746
278,2885,3746
279,3205,1645
280,3205,1645
281,3205,1645
282,3205,1645
283,3205,1645
284,2979,2667
285,2979,2667
286,2979,2667
287,2979,2667
288,2979,2667
289,2979,2667
290,2979,2667
291,2979,2667
292,2979,2667
293,1830,2973
294,2833,2883
295,1784,1780
296,1784,1780
297,1784,1780
298,1784,1780
299,1784,1780
300,1784,1780
301,1784,1780
302,2226,2225
303,2226,2225
304,3157,3424
305,3157,3424
306,3157,3424
307,3157,3424
308,545,555
309,545,555
310,545,555
311,545,555
312,2267,3062
313,2267,3062
314,2267,3062
315,2267,3062
316,2267,3062
317,2833,3067
318,107,205
319,107,205
320,107,205
321,107,205
322,2253,2254
323,2253,2254
324,2253,2254
325,1841,1851
326,1841,1851
327,1841,1851
328,3386,3880
329,3386,3880
330,3386,3880
331,2226,2244
332,2226,2244
333,178,180
334,178,180
335,178,180
336,178,180
337,1704,3654
338,1704,3654
